Codigo Inventario,Registro Contable,Fecha Movimiento,Cod. Almacén,Nom. Almacen,Cod. Producto,Nombre Producto,Cod. Comercial,Codigo Unidad Medida,Nombre Unidad Medida,Clase,Sub Clase,Sub Sub Clase,Marca,Temporada,Tipo Operacion,Nombre Tipo Operacion,Cod. Ref,Cod. Tipo Documento,Tipo Documento,Nro. Serie,Nro. Documento,Cod. Doc. Final,Nro. Serie Doc. Final,Nro. Doc. Final,Movimiento,Unid. Medida Registro,Cantidad,Factor,Unidad Medida Base,Cantidad Entrada,Costo Entrada,Total Entrada,Cantidad Salida,Costo Salida,Total Salida,Saldo Cantidad,Saldo Costo,Saldo Total,U.M. Sin Convertir,Cantidad Sin Convertir,Cantidad Secundaria Entrada,Cantidad Secundaria Salida,Saldo Cantidad Secundaria,Tipo Existencia,Nombre Existencia,Cod. Centro Costos,Nombre Centro Costos,Cod. Sub Centro Costos,Nombre Sub Centro Costos,Cod. Sub Sub Centro Costos,Nombre Sub Sub Centro Costos,Magen Venta,Numero de Documento Auxiliar,Nombre Auxiliar
INV000301300,INPR_LD04-00880,2025-04-01 14:58:42.720000,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,6,1,Unidades,0,0,0,6,19.82273,118.93638,158,19.82273,3131.99134,UND,6,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,20102351038,EL CHALAN SAC
INV000301300,INPR_LD04-00880,2025-04-01 14:58:42.720000,A02,ALMACEN CHALAN PLAZA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,6,1,Unidades,6,19.82273,118.93638,0,0,0,17.022,19.822742979673365,337.422731,UND,6,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,20102351038,EL CHALAN SAC
INV000301304,INPR_LD04-00884,2025-04-01 15:03:01,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,4,1,Unidades,0,0,0,4,19.82273,79.29092,154,19.82273,3052.70042,UND,4,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,20102351038,EL CHALAN SAC
INV000301304,INPR_LD04-00884,2025-04-01 15:03:01,A06,ALMACEN CHALAN MEGA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,4,1,Unidades,4,19.82273,79.29092,0,0,0,7.863,19.822739793971767,155.866203,UND,4,0,0,0,01,MERCADERÍA,07,FABRICA,0704,COSTO DE COMPRA,070401,COSTO DE COMPRA,0,20102351038,EL CHALAN SAC
INV000306653,INS6_LD04-00280,2025-04-02 05:23:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,11,1,Unidades,0,0,0,11,19.82273,218.05003,143,19.82273,2834.65039,UND,11,0,0,0,01,MERCADERÍA,01,TIENDA PLAZA,0101,VENTA PLAZA,010103,COSTO DE COMPRA,0,,
INV000306653,INS6_LD04-00280,2025-04-02 05:23:00,A02,ALMACEN CHALAN PLAZA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,11,1,Unidades,11,19.82273,218.05003,0,0,0,28.022,19.822737884519306,555.472761,UND,11,0,0,0,01,MERCADERÍA,01,TIENDA PLAZA,0101,VENTA PLAZA,010103,COSTO DE COMPRA,0,,
INV000247006,INS6_LD04-00004,2025-04-02 09:10:34.970000,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,13,1,Unidades,0,0,0,13,19.82273,257.69549,130,19.82273,2576.9549,UND,13,0,0,0,01,MERCADERÍA,01010101,GENERAL,01010101,GENERAL,01010101,GENERAL,0,,
INV000247006,INS6_LD04-00004,2025-04-02 09:10:34.970000,A04,ALMACEN CHALAN REAL,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,13,1,Unidades,13,19.82273,257.69549,0,0,0,28.199,19.822798929040037,558.983107,UND,13,0,0,0,01,MERCADERÍA,01010101,GENERAL,01010101,GENERAL,01010101,GENERAL,0,,
INV000247008,INS6_LD04-00005,2025-04-02 09:15:46.740000,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,2,1,Unidades,0,0,0,2,19.82273,39.64546,128,19.82273,2537.30944,UND,2,0,0,0,01,MERCADERÍA,01010101,GENERAL,01010101,GENERAL,01010101,GENERAL,0,,
INV000247008,INS6_LD04-00005,2025-04-02 09:15:46.740000,A06,ALMACEN CHALAN MEGA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Entrada,UND,2,1,Unidades,2,19.82273,39.64546,0,0,0,9.863,19.82273780796918,195.511663,UND,2,0,0,0,01,MERCADERÍA,01010101,GENERAL,01010101,GENERAL,01010101,GENERAL,0,,
